ID,nest_name,nest_status,tree_species,country,canton,elev_swiss_maps,coordX,coordY,municipality,location
653,Kalchstätten_Herrenmatt_20,nest gone,Picea abies (Norwegian Spruce),Switzerland,BE,806.4,7.304269517,46.75983608,Kalchstätten,Herrenmatt
654,Gurmels_Kleinbösingen_20,nest gone,Quercus robur (English Oak),Switzerland,FR,525.1,7.203827366,46.88911284,Gurmels,Kleinbösingen
655,Heitenried_Schindelhus_20,present,Fraxinus sp (Ash),Switzerland,FR,743.4,7.305155789,46.81530372,Heitenried,Schindelhus
656,Alterswil_Baletswil_20,present,Quercus robur (English Oak),Switzerland,FR,790,7.24209353,46.78216363,Alterswil,Baletswil
657,Alterswil_Aeschlenberg_20,active,Fagus sylvatica (Beech),Switzerland,FR,750.5,7.261526693,46.78894261,Alterswil,Aeschlenberg
658,Plasselb_Unter Tschüplere,present,Picea abies (Norwegian Spruce),Switzerland,FR,899,7.265330906,46.73285984,Plasselb,Unter Tschüplere
659,Düdingen_Looholz,present,Pinus sylvestris (Scots pine),Switzerland,FR,675.5,7.193107322,46.8293123,Düdingen,Looholz
660,Bösingen_Gertholz_20,present,Quercus robur (English Oak),Switzerland,FR,563.9,7.251346505,46.8895301,Bösingen,Gertholz
661,Flamatt_Chruezacher,active,Fagus sylvatica (Beech),Switzerland,FR,561.1,7.299552093,46.89109626,Flamatt,Chruezacher
662,Thorishaus_Oberried,nest gone,Abies alba (Silver fir),Switzerland,FR,673.6,7.363091914,46.89068128,Thorishaus,Oberried
663,Thörishaus_Winterhölzli,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,623.7,7.354824997,46.89369217,Thörishaus,Winterhölzli
664,Neuenegg_Forstmatt,tree gone,Fagus sylvatica (Beech),Switzerland,FR,571.9,7.300464519,46.9026338,Neuenegg,Forstmatt
665,Wünnewil_Nussbaumen_20,present,Fagus sylvatica (Beech),Switzerland,FR,527.8,7.277024346,46.88894466,Wünnewil,Nussbaumen
666,Wünnewil_Zenthus_20,present,Fagus sylvatica (Beech),Switzerland,FR,572.5,7.282603483,46.88840574,Wünnewil,Zenthus
667,Kriesbaumen_äbnit,present,Abies alba (Silver fir),Switzerland,BE,985.7,7.345388176,46.79032481,Kriesbaumen,äbnit
668,Tentlingen_Villarsel_20,nest gone,Pseudotsuga menziesii (Douglas fir),Switzerland,FR,677.8,7.170869225,46.76615071,Tentlingen,Villarsel
669,Bonnefontaine_Rüdigrabe,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,789.3,7.208211079,46.74234559,Bonnefontaine,Rüdigrabe
670,Freisenheit_Graben,present,Quercus robur (English Oak),Switzerland,FR,605.9,7.245759569,46.86380858,Freisenheit,Graben
671,Uebestorf_Niedermettlen_20,present,Fagus sylvatica (Beech),Switzerland,FR,687.1,7.32596491,46.86852777,Uebestorf,Niedermettlen
672,Düdingen_Unter St. Wolfgangholz_20,active_24,Fagus sylvatica (Beech),Switzerland,FR,615.7,7.180793893,46.8341275,Düdingen,Unter St. Wolfgangholz
673,La Roche_Les Rontes_20,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,763.1,7.132312336,46.6994071,La Roche,Les Rontes
674,Uebestorf_Bode,present,Larix decidua (larch),Switzerland,FR,659.2,7.35090478,46.85710123,Uebestorf,Bode
675,Milken_Weizacker,nest gone,Abies alba (Silver fir),Switzerland,BE,799.6,7.389589469,46.79907432,Milken,Weizacker
676,Ursy_Au Cuard_20,present,Quercus robur (English Oak),Switzerland,FR,649.9,6.819750142,46.62538519,Ursy,Au Cuard
677,Marly_Bois_des_Rittes_20,nest gone,Fagus sylvatica (Beech),Switzerland,FR,620.4,7.162327619,46.7845792,Marly,Bois
678,Düdingen_Ottisberg,nest gone,Quercus robur (English Oak),Switzerland,FR,545.7,7.170444164,46.85455374,Düdingen,Ottisberg
679,Kleingurmels_Chateaux,present,Quercus robur (English Oak),Switzerland,FR,548.3,7.175632683,46.87124093,Kleingurmels,Chateaux
680,Barbareche_Bois de Chasse,nest gone,Larix decidua (larch),Switzerland,FR,613.6,7.141806581,46.85265379,Barbareche,Bois de Chasse
681,Kleingurmels_Gros Bruel,nest gone,Fagus sylvatica (Beech),Switzerland,FR,550.7,7.184992338,46.87468068,Kleingurmels,Gros Bruel
